respondent_id,eligible_ai20k_outside_team,active_last_14_days,last_lesson,prep_actions,unknown_before_lesson,gap_frequency_14d,concept_group,discovery_point,response_actions,first_source,source_helpfulness,time_lost_band,learning_impact,desired_prep_info,search_difficulty,willing_to_test,verbatim_quote,consent_for_research,source_record
R01,yes,yes,Lesson 2,Đọc tên/mô tả,Không nhớ,Có 1 lần,Không xác định được,Không nhớ,Tìm Google/YouTube,Google/YouTube,Có nhưng phải tìm thêm,Trên 20 phút,Tạm dừng và quay lại sau,Link đúng lesson/slide/timestamp cần xem,Không biết concept cần học trước hay sẽ được dạy,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R02,yes,yes,Lesson 2,Học ngay|không chuẩn bị|Xem mục tiêu,Phần nào cần chú ý,Có 2–3 lần,AI/ML,Đầu lesson,Tiếp tục chờ bài giải thích|Tua lại|Tìm slide/transcript|Tìm Google/YouTube|Hỏi AI|Bỏ qua,Công cụ AI,"Có, tìm được ngay",Trên 20 phút,Gần như không ảnh hưởng,Concept dễ nhầm/phần cần chú ý,Quá nhiều nguồn,no,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R03,yes,yes,Lesson 5,Xem lướt slide/transcript|Ôn lesson trước,Không nhớ,Không có,Lập trình/công cụ kỹ thuật|Không xác định được,Đầu lesson,Tìm lesson cũ/tài liệu khóa,Transcript/video,Tôi không tìm,Trên 20 phút,Học tiếp nhưng phần sau khó hiểu hơn,Link đúng lesson/slide/timestamp cần xem|Concept dễ nhầm/phần cần chú ý,Thường tìm được ngay,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R04,yes,yes,Lesson 6,Xem mục tiêu,Phần nào cần chú ý,Có 2–3 lần,Thuật ngữ nền tảng|Toán/thống kê|AI/ML|Không xác định được,Khoảng giữa,Tiếp tục chờ bài giải thích,Slide,Có nhưng phải tìm thêm,Trên 20 phút,Học tiếp sau khi tra cứu,Link đúng lesson/slide/timestamp cần xem|Concept dễ nhầm/phần cần chú ý,Không biết nằm ở lesson nào,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R05,yes,yes,Lesson 6,Xem lướt slide/transcript,Phần nào cần chú ý,Có từ 4 lần,AI/ML,Gần cuối,Tìm Google/YouTube,Slide,Chỉ hiểu một phần,Trên 20 phút,Gần như không ảnh hưởng,Concept dễ nhầm/phần cần chú ý,Tài liệu quá dài,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R06,yes,yes,Lesson 6,Đọc tên/mô tả,Nếu thiếu kiến thức thì xem lại ở đâu|Đã biết rõ tất cả,Có từ 4 lần,AI/ML,Không nhớ,Tìm Google/YouTube|Hỏi AI,Không tìm,Chỉ hiểu một phần,Trên 20 phút,Gần như không ảnh hưởng,Kiến thức thực sự cần biết trước|Link đúng lesson/slide/timestamp cần xem,Không biết nằm ở lesson nào,no,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R07,yes,yes,Lesson 5,Đọc tên/mô tả|Xem mục tiêu|Ôn lesson trước,Kiến thức nào cần biết trước|Phần nào cần chú ý,Có 1 lần,Lập trình/công cụ kỹ thuật,Khoảng giữa,Hỏi bạn học/giảng viên/TA,Slide,Chỉ hiểu một phần,Trên 20 phút,Tạm dừng và quay lại sau,Không cần thêm thông tin,Không biết nằm ở lesson nào,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R08,yes,yes,Lesson 6,Tra cứu thuật ngữ/concept,Không nhớ,Không có,AI/ML|Quy trình/phương pháp,Đầu lesson,Tua lại|Tìm slide/transcript,Transcript/video,Tôi không tìm,Trên 20 phút,Học tiếp sau khi tra cứu,Kiến thức thực sự cần biết trước|Link đúng lesson/slide/timestamp cần xem,Tài liệu quá dài,yes,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R09,yes,yes,Lesson 3,Xem lướt slide/transcript|Ôn lesson trước,Sau lesson cần hiểu/làm được gì|Nếu thiếu kiến thức thì xem lại ở đâu|Phần nào cần chú ý|Đã biết rõ tất cả,Có 1 lần,Lập trình/công cụ kỹ thuật|AI/ML|Không xác định được,Gần cuối,Tìm slide/transcript,Lesson trước,Tôi không tìm,Trên 20 phút,Học tiếp nhưng phần sau khó hiểu hơn,Kiến thức thực sự cần biết trước|Link đúng lesson/slide/timestamp cần xem|Concept dễ nhầm/phần cần chú ý|Không cần thêm thông tin,Không biết concept cần học trước hay sẽ được dạy,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
R10,yes,yes,Lesson 4,Tra cứu thuật ngữ/concept,Kiến thức nào cần biết trước|Nếu thiếu kiến thức thì xem lại ở đâu,Có 1 lần,Quy trình/phương pháp,Khoảng giữa,Hỏi AI,Slide,Có nhưng phải tìm thêm,Không mất thêm,Tạm dừng và quay lại sau,Kết quả cần đạt|Phân biệt cần biết trước/biết thì hữu ích/sẽ được dạy|Concept dễ nhầm/phần cần chú ý,Quá nhiều nguồn,maybe,,not_collected,https://docs.google.com/forms/d/1uGjLc-j0WnvmgyZBsI2sv1zNqw1qnjkwrERizRrYTLg/edit#responses
